,Course,Daytime/evening attendance,Mother's occupation,Tuition fees up to date,Scholarship holder,Age at enrollment,credits_enrolled_anual,evaluations_anual,credits_approved_anual,mean_grade_anual,Clasificador(Target)
111,9,1,5,1,1,18,10,20,6,12.0,0
112,6,1,10,1,0,19,10,11,10,13.1,0
113,15,1,5,1,0,18,12,13,12,12.61904761904762,0
114,12,1,10,1,0,18,14,14,12,12.516666666666666,1
115,12,1,10,1,0,20,14,18,13,12.308333333333334,0
116,10,1,10,1,1,20,12,25,6,10.375,0
117,9,1,4,1,0,20,10,21,6,10.5,0
118,6,1,10,1,0,18,10,18,10,12.271428571428572,0
119,9,1,5,1,0,18,10,10,10,13.3,0
120,11,1,5,1,0,21,12,24,5,11.0,1
121,9,1,10,1,0,19,10,17,9,11.025,0
122,2,1,3,1,0,19,0,0,0,0.0,1
123,14,1,10,1,1,19,10,10,10,13.5,0
124,6,1,5,1,0,19,12,28,12,13.183333333333334,0
125,13,1,5,1,0,19,14,12,5,6.05,1
126,6,1,10,1,0,20,12,24,11,13.972222222222223,0
127,16,1,10,1,1,18,12,15,10,13.1,0
128,10,1,6,1,0,18,12,13,12,13.333333333333332,0
129,12,1,9,1,0,19,15,16,15,14.239126984126983,0
130,12,1,6,1,1,18,15,18,14,13.490178571428572,1
131,5,1,10,1,0,18,12,12,12,12.666666666666668,0
132,9,1,5,1,0,19,10,12,10,13.5,0
133,12,1,4,1,0,19,14,15,5,7.0,1
134,10,1,10,1,0,20,16,23,16,11.69047619047619,0
135,14,1,4,0,1,19,12,16,9,12.25,1
136,14,1,6,1,0,20,10,12,8,11.85,0
137,15,1,20,1,1,18,12,12,12,14.833333333333334,0
138,12,1,5,1,1,20,15,18,12,13.04042857142857,0
139,12,1,5,1,0,18,15,16,15,17.35625,0
140,12,1,10,1,0,19,14,14,12,12.666666666666666,0
141,15,1,5,1,1,19,12,18,11,12.333333333333332,0
142,9,1,4,0,0,22,10,15,0,0.0,0
143,10,1,10,1,1,19,12,13,12,11.416666666666668,0
144,12,1,10,1,1,19,15,21,15,12.968125,0
145,16,1,6,1,1,19,12,19,10,11.4,0
146,11,1,10,1,0,19,10,20,0,0.0,1
147,11,1,10,1,0,20,12,20,8,11.433333333333334,1
148,9,1,3,1,0,18,10,19,10,13.770833333333332,0
149,12,1,10,1,1,20,15,17,13,14.020952380952384,0
150,2,1,3,1,0,18,0,0,0,0.0,0
151,6,1,5,1,0,19,10,12,10,12.9,0
152,16,1,8,1,0,18,12,21,8,11.583333333333334,0
153,16,1,10,1,0,18,12,15,11,12.566666666666666,0
154,16,1,3,1,0,21,12,22,6,11.333333333333332,1
155,16,1,7,1,0,19,12,18,10,11.75,1
156,9,1,10,1,1,18,10,10,10,11.2,0
157,10,1,8,1,1,18,12,15,12,12.053571428571429,0
158,10,1,10,1,0,20,12,19,10,11.416666666666668,0
159,3,0,7,1,1,24,12,20,10,11.8,0
160,14,1,5,1,0,19,12,15,12,13.083333333333332,1
161,12,1,10,1,1,18,15,21,14,12.808333333333334,0
162,12,1,10,1,0,18,15,16,15,15.136875,0
163,16,1,5,1,0,21,12,23,7,11.25,1
164,14,1,6,1,0,19,10,10,10,14.2,0
165,15,1,8,1,1,19,12,13,12,12.75,0
166,4,1,7,1,0,47,7,1,0,0.0,0
167,10,1,8,1,0,19,12,22,9,11.333333333333332,0
168,12,1,2,1,0,29,16,16,14,14.257142857142856,0
169,10,1,5,1,0,21,12,25,5,11.666666666666668,1
170,6,1,10,1,0,28,10,24,8,10.875,0
171,13,1,4,1,0,20,15,16,15,13.009821428571428,0
172,12,1,5,1,0,19,14,14,12,11.683333333333332,0
173,3,0,5,1,0,26,12,18,8,11.833333333333332,0
174,11,1,10,0,0,20,12,14,10,12.458333333333332,1
175,14,1,10,1,1,18,10,12,7,12.583333333333332,0
176,16,1,10,1,0,27,12,19,10,12.6,0
177,12,1,12,1,0,20,14,16,8,11.95,1
178,16,1,10,1,0,18,12,20,10,11.4,1
179,12,1,10,1,0,33,15,18,12,14.466666666666669,1
180,16,1,4,1,0,35,40,40,40,12.704260651629074,0
181,17,0,10,1,1,26,12,14,12,12.916666666666666,0
182,15,1,4,0,0,27,12,12,5,6.0,1
183,5,1,6,0,0,19,12,12,6,6.083333333333333,1
184,11,1,5,1,0,20,12,0,0,0.0,1
185,9,1,6,0,0,20,10,18,6,10.285714285714285,1
186,10,1,6,0,0,21,16,30,12,10.75,0
187,12,1,10,1,1,18,14,14,12,13.05,0
188,6,1,10,1,0,24,12,16,2,5.5,1
189,5,1,5,1,0,20,12,13,12,11.75,0
190,11,1,10,1,1,21,12,13,12,12.25,0
191,3,0,8,1,0,23,11,25,3,10.0,0
192,9,1,5,1,0,24,10,10,0,0.0,1
193,16,1,5,1,0,21,12,0,0,0.0,1
194,12,1,10,1,0,18,16,16,14,12.242857142857144,0
195,17,0,4,1,0,27,10,0,0,0.0,1
196,12,1,6,1,0,18,16,16,16,12.93375,0
197,7,1,3,1,0,35,10,0,0,0.0,1
198,16,1,4,1,0,18,14,17,14,13.5,0
199,12,1,28,1,0,35,6,7,6,11.575,0
200,6,1,5,1,0,19,10,22,8,14.041666666666668,0
201,10,1,5,1,0,20,12,14,12,11.25,0
202,12,1,8,1,0,18,16,16,14,12.324285714285711,0
203,10,1,6,1,0,21,12,13,12,11.94047619047619,0
204,10,1,10,1,1,18,12,22,9,11.196428571428571,0
205,10,1,1,1,0,18,12,18,8,10.875,0
206,12,1,10,1,0,18,16,16,14,12.914285714285713,0
207,15,1,2,1,1,18,12,12,12,14.0,0
208,6,1,9,1,0,19,12,17,11,13.62857142857143,0
209,11,1,3,1,1,36,12,13,11,13.257142857142856,1
210,12,1,8,1,1,18,16,16,14,12.642857142857142,0
211,12,1,10,1,1,18,14,14,12,12.916666666666666,0
212,8,1,10,1,1,20,12,16,12,15.741071428571429,0
213,17,0,10,1,1,26,10,15,0,0.0,1
214,15,1,5,1,0,21,12,15,12,11.857142857142858,0
215,13,1,5,1,0,25,15,19,14,12.71875,0
216,9,1,6,1,1,19,10,12,10,11.6,0
217,3,0,9,1,0,24,12,17,1,5.0,1
218,3,0,6,1,1,27,12,29,1,5.0,1
219,6,1,2,1,0,21,10,19,2,6.75,1
220,9,1,8,1,1,18,10,15,7,12.666666666666668,0
221,16,1,6,1,1,19,12,12,12,13.916666666666668,0
222,11,1,4,1,0,18,12,22,6,11.875,1
223,12,1,6,1,1,19,15,18,12,13.021428571428569,0
224,12,1,5,1,1,19,15,17,13,14.327083333333334,0
225,17,0,4,1,0,33,11,12,11,15.566666666666666,0
226,9,1,4,1,0,45,10,11,10,12.4,0
227,10,1,10,1,1,20,12,13,12,12.428571428571429,0
228,14,1,1,1,0,28,10,10,0,0.0,1
229,12,1,6,1,1,19,16,30,14,11.571428571428571,0
230,11,1,5,1,0,18,12,16,9,12.761904761904765,0
231,11,1,5,1,0,38,12,0,0,0.0,1
232,14,1,5,1,0,19,10,10,10,13.1,0
233,11,1,10,1,1,21,12,17,10,11.5,0
234,9,1,10,1,0,21,10,24,4,13.5,1
235,10,1,10,1,1,22,12,12,11,12.8,0
236,16,1,6,1,1,18,12,15,11,13.283333333333331,0
237,10,1,4,1,1,18,12,18,12,11.452380952380953,0
238,8,1,10,0,0,25,10,24,8,13.875,1
239,6,1,10,0,0,24,12,25,6,11.041666666666668,1
240,12,1,5,1,0,19,14,18,13,11.966964285714289,0
241,2,1,4,1,0,24,30,34,20,13.232323232323232,0
242,9,1,6,1,1,20,10,10,10,12.6,0
243,9,1,10,0,0,25,10,14,0,0.0,1
244,9,1,10,1,1,20,20,25,19,12.631818181818184,0
245,12,1,6,1,0,23,16,16,16,13.22,0
246,12,1,8,1,1,19,16,16,14,13.151428571428571,0
247,4,1,10,0,0,29,12,21,6,12.041666666666668,1
248,11,1,5,1,0,21,12,16,10,11.791666666666668,0
249,14,1,10,1,1,18,12,23,11,13.696428571428571,0
250,5,1,10,1,0,19,12,13,10,12.4,0
251,15,1,8,1,1,18,12,12,12,13.916666666666668,1
252,6,1,12,1,0,19,10,12,10,13.7,0
253,15,1,10,1,0,18,12,24,1,5.5,0
254,9,1,5,1,0,18,10,14,10,11.6,0
255,13,1,8,0,1,37,14,25,1,8.0,1
256,17,0,7,1,0,29,10,24,10,12.952380952380953,0
257,5,1,10,1,0,18,12,12,12,12.166666666666668,0
258,10,1,10,1,1,19,12,17,10,12.166666666666666,0
259,10,1,4,0,0,22,17,24,8,12.416666666666668,1
260,11,1,10,1,1,20,12,18,11,10.883333333333333,0
261,3,0,13,1,0,34,12,0,0,0.0,1
262,7,1,10,0,0,30,24,36,14,11.958333333333332,1
263,10,1,5,1,0,18,12,14,12,14.0,0
264,10,1,10,1,0,18,12,12,12,12.416666666666668,0
265,15,1,2,1,0,18,12,21,7,11.958333333333332,0
266,12,1,3,1,0,18,16,16,14,14.828571428571427,0
267,15,1,10,1,1,19,12,15,10,12.1,0
268,5,1,10,1,1,19,12,14,12,12.75,0
269,12,1,10,1,1,18,16,16,14,13.671428571428573,0
270,4,1,5,1,1,21,12,17,11,12.733333333333334,0
271,9,1,10,0,0,20,10,22,3,11.5,1
272,9,1,5,1,0,20,10,18,10,12.916666666666668,0
273,12,1,3,1,0,19,15,16,15,13.11,0
274,10,1,5,1,0,20,12,15,12,14.964285714285715,0
275,12,1,5,1,0,18,15,15,15,14.53660714285714,0
276,16,1,4,1,0,20,12,18,8,10.833333333333332,1
277,8,1,3,0,0,29,16,28,12,12.377777777777776,1
278,12,1,6,1,1,18,15,15,15,13.78607142857143,0
279,12,1,6,1,1,20,15,19,14,13.908303571428572,0
280,9,1,10,1,1,22,10,16,8,11.7,0
281,3,0,5,1,1,47,12,16,11,14.166666666666666,0
282,17,0,9,1,0,31,10,10,10,13.9,0
283,5,1,8,1,1,21,12,13,11,13.316666666666666,0
284,3,0,1,1,0,21,12,18,11,12.32857142857143,0
285,15,1,5,1,0,24,12,12,12,13.0,0
286,5,1,3,1,0,18,12,14,12,12.416666666666668,0
287,3,0,12,1,0,32,12,21,8,11.75,0
288,3,0,4,1,1,19,12,17,12,11.166666666666668,0
289,12,1,2,1,0,24,16,16,16,13.385,0
290,6,1,5,1,0,19,12,23,12,15.083333333333332,0
291,4,1,7,1,1,19,12,16,12,14.083333333333334,0
292,4,1,10,1,0,24,12,22,11,12.214285714285715,0
293,10,1,29,1,1,18,12,17,12,11.666666666666666,0
294,5,1,4,1,1,19,12,19,7,11.666666666666668,1
295,12,1,3,1,1,19,16,16,14,14.725714285714288,0
296,15,1,10,1,1,18,12,12,12,13.916666666666666,0
297,10,1,4,1,0,18,12,18,12,11.952380952380953,0
298,13,1,5,1,0,20,15,15,15,12.81875,0
299,12,1,6,1,0,18,16,20,16,12.86,0
300,14,1,10,1,0,18,12,19,12,12.982142857142858,0
301,6,1,10,1,1,21,10,12,9,12.1,0
302,12,1,5,1,1,18,15,18,15,15.642777777777775,0
303,14,1,6,0,0,18,10,12,6,11.375,1
304,10,1,5,1,0,19,12,11,0,0.0,1
305,14,1,5,1,0,19,12,17,8,11.0,0
306,14,1,6,1,0,18,12,19,10,13.2375,0
307,8,1,12,1,0,34,10,11,1,5.5,1
308,6,1,12,1,0,19,10,11,10,14.2,0
309,8,1,8,0,0,19,12,19,7,11.3,1
310,10,1,3,1,0,26,12,13,12,14.988095238095235,0
311,16,1,1,1,0,21,12,22,6,11.333333333333334,1
312,9,1,5,1,1,18,10,10,10,11.5,0
313,16,1,6,1,1,20,12,17,10,13.533333333333331,0
314,9,1,5,1,0,25,10,17,2,5.25,1
315,9,1,5,1,0,18,10,10,10,16.299999999999997,0
316,12,1,4,1,1,18,15,18,15,14.712337662337662,0
317,12,1,4,1,0,19,15,16,15,14.024920634920631,0
318,10,1,6,1,1,18,12,18,12,11.571428571428571,0
319,12,1,8,1,0,20,15,23,12,12.420238095238094,0
320,6,1,10,0,0,26,9,3,0,0.0,1
321,12,1,8,1,1,19,16,16,14,13.058571428571428,0
322,12,1,6,1,0,19,15,16,15,14.177777777777775,0
323,9,1,10,1,0,19,20,29,13,11.9,0
324,6,1,8,1,0,19,10,17,6,11.666666666666668,0
325,11,1,6,1,0,18,12,18,9,11.11904761904762,0
326,12,1,10,1,0,19,14,14,12,13.333333333333334,0
327,10,1,10,1,0,18,12,19,11,11.428571428571429,0
328,16,1,5,1,0,18,12,17,10,12.0,0
329,6,1,10,1,0,18,10,18,10,12.8,0
330,16,1,10,1,0,18,14,21,11,12.333333333333332,0
331,7,1,5,1,0,26,10,11,0,0.0,1
332,10,1,8,1,0,20,12,14,12,12.5,0
333,3,0,10,1,0,19,12,12,12,12.166666666666666,0
334,10,1,5,1,1,18,12,15,12,12.916666666666666,0
335,10,1,8,1,0,19,12,12,12,14.0,0
336,16,1,3,1,0,40,14,15,14,14.785714285714285,0
337,12,1,8,1,1,18,16,16,16,13.39125,0
338,10,1,10,1,0,19,12,17,11,12.297619047619047,0
339,8,1,4,1,0,18,10,15,8,11.875,0
340,6,1,4,1,0,19,10,21,7,12.0,0
341,2,1,3,1,0,18,0,0,0,0.0,1
342,3,0,10,1,0,33,12,15,12,12.845238095238097,0
343,4,1,2,1,0,35,12,21,12,13.55,0
344,9,1,10,1,0,26,10,12,6,12.5,0
345,15,1,8,1,0,18,12,15,12,13.0,0
346,10,1,10,1,0,36,29,43,22,11.5,0
347,17,0,7,1,0,39,10,15,10,11.333333333333332,0
348,10,1,10,1,0,44,12,14,12,13.416666666666668,0
349,3,0,4,1,0,20,12,19,9,11.625,0
350,11,1,10,1,0,24,12,15,8,12.05,1
351,15,1,10,1,1,20,12,12,12,13.5,0
352,2,1,10,0,0,19,0,0,0,0.0,1
353,12,1,10,1,1,18,14,14,12,14.2,0
354,11,1,5,0,0,22,12,22,5,5.5,1
355,6,1,5,1,0,18,12,14,12,15.714285714285714,0
356,12,1,10,1,0,24,15,18,13,13.014285714285712,0
357,17,0,12,1,0,33,10,0,0,0.0,1
358,4,1,4,1,1,30,12,12,0,0.0,0
359,6,1,3,1,0,26,12,0,0,0.0,1
360,16,1,5,1,0,18,12,17,12,11.75,0
361,15,1,10,1,0,19,12,25,5,11.333333333333332,1
362,9,1,10,1,0,20,10,19,7,10.666666666666668,0
363,6,1,10,1,1,22,20,34,15,13.607142857142858,0
364,12,1,10,1,0,19,14,16,10,13.98,0
365,6,1,8,1,1,21,12,23,12,15.951923076923077,0
366,12,1,5,1,1,21,14,14,12,14.033333333333331,0
367,6,1,3,1,0,19,10,14,6,11.1,0
368,16,1,29,1,1,19,14,16,13,13.761904761904765,0
369,12,1,10,1,0,18,16,16,14,13.414285714285716,1
370,3,0,10,1,0,50,18,18,18,13.558441558441558,0
371,17,0,10,1,1,31,10,21,8,11.041666666666668,0
372,15,1,5,1,1,19,12,13,12,14.13095238095238,0
373,17,0,20,1,0,35,10,17,10,12.428571428571429,0
374,6,1,5,1,0,31,12,0,0,0.0,1
375,3,0,10,1,0,42,22,28,20,12.35,0
376,9,1,10,0,0,34,10,5,0,0.0,1
377,12,1,5,1,1,18,15,15,15,15.211607142857142,0
378,16,1,4,0,1,18,14,15,13,12.80952380952381,0
379,6,1,6,1,0,21,12,31,7,13.083333333333332,0
380,12,1,6,1,1,26,15,25,11,11.859285714285717,1
381,12,1,9,1,0,20,15,16,14,13.5,0
382,10,1,6,1,0,19,12,25,6,10.333333333333334,0
383,16,1,6,1,1,19,12,13,12,13.297619047619047,0
384,9,1,3,1,0,20,20,33,17,11.833333333333332,0
385,10,1,1,1,0,19,12,15,12,11.333333333333332,0
386,16,1,10,1,0,18,12,15,12,13.0,0
387,17,0,10,1,0,28,25,32,21,11.636363636363637,0
388,16,1,5,1,0,22,12,18,10,12.783333333333331,0
389,3,0,8,1,1,21,12,12,12,14.416666666666666,0
390,6,1,5,1,0,21,12,30,5,11.875,0
391,12,1,6,1,0,26,15,24,10,11.67,0
392,15,1,8,0,0,18,12,16,10,12.2,1
393,6,1,10,0,0,20,10,16,4,11.416666666666668,1
394,6,1,5,1,0,18,12,14,12,14.428571428571429,0
395,12,1,5,1,1,19,16,22,14,12.86,0
396,10,1,4,1,0,20,22,26,22,11.863636363636363,0
397,6,1,5,1,1,22,12,21,9,12.571428571428571,0
398,14,1,6,1,0,18,12,15,9,12.757142857142856,1
399,9,1,7,1,0,19,10,19,3,5.333333333333333,1
400,5,1,4,1,1,18,12,17,9,11.4,0
401,11,1,8,1,0,20,12,25,6,10.333333333333334,0
402,15,1,10,1,0,19,12,22,7,11.625,0
403,11,1,10,1,0,19,12,13,10,12.375,0
404,12,1,6,1,0,19,16,16,14,14.731428571428571,0
405,2,1,4,1,0,18,0,0,0,0.0,0
406,5,1,4,1,0,21,25,26,25,13.932692307692308,0
407,17,0,10,1,0,27,10,10,10,15.3,0
408,10,1,5,1,0,19,12,13,12,14.61904761904762,0
409,6,1,1,1,0,25,10,10,0,0.0,1
410,12,1,8,1,1,18,16,16,14,14.654285714285717,0
411,12,1,5,1,0,24,16,16,14,12.401428571428571,0
412,12,1,5,1,0,20,15,17,14,12.829464285714286,0
413,17,0,7,1,0,26,10,10,10,14.8,0
414,10,1,10,1,1,20,12,15,12,12.083333333333334,0
415,6,1,12,1,0,18,10,11,10,14.7,0
416,6,1,10,1,0,19,12,23,12,13.802884615384617,0
417,16,1,10,1,0,23,12,18,8,11.3,1
418,12,1,10,1,1,18,14,14,12,11.6,0
419,12,1,5,1,0,18,15,0,0,0.0,1
420,12,1,3,1,1,19,15,16,15,12.997936507936508,0
421,17,0,5,1,0,30,12,14,12,14.471428571428572,0
422,6,1,5,1,0,29,12,0,0,0.0,1
423,12,1,4,1,0,19,16,16,16,13.25375,0
424,13,1,6,1,0,20,15,15,15,13.942857142857145,0
425,12,1,10,1,0,20,14,14,12,13.916666666666666,0
426,14,1,4,1,0,19,12,17,12,13.535714285714285,0
427,9,1,10,1,0,20,10,20,5,11.0,0
428,6,1,5,1,0,21,10,20,0,0.0,1
429,14,1,5,1,0,19,12,19,9,13.05,0
430,12,1,10,1,1,18,16,16,14,12.082857142857142,0
431,3,0,8,1,1,27,12,18,11,12.316666666666666,0
432,9,1,7,1,1,19,10,11,10,12.9,0
433,12,1,12,1,1,19,14,14,0,0.0,1
434,15,1,5,1,0,19,12,14,11,14.385714285714286,0
435,12,1,6,1,1,18,16,16,14,13.814285714285717,0
436,11,1,6,1,1,20,12,16,10,10.875,0
437,14,1,5,1,1,18,12,14,12,14.083333333333332,0
438,14,1,3,1,0,19,12,0,0,0.0,1
439,12,1,10,1,0,36,14,14,12,11.3,0
440,13,1,4,1,0,18,6,6,1,8.0,0
441,8,1,5,1,0,18,10,20,4,12.0,0
442,12,1,10,1,0,19,16,18,14,12.3,0
443,12,1,8,1,1,18,16,16,14,12.694285714285714,0
444,14,1,2,1,0,18,10,10,8,11.0,0
445,10,1,10,1,1,19,12,12,12,13.583333333333332,0
446,12,1,3,1,1,19,15,16,15,15.23125,0
447,12,1,8,1,0,18,15,16,15,13.495625,1
448,15,1,10,1,0,20,12,16,11,13.066666666666666,0
449,11,1,4,1,1,20,12,17,10,12.8,0
450,12,1,6,1,0,20,16,16,14,14.402857142857142,0
451,12,1,10,1,1,18,16,16,14,13.381428571428572,0
452,12,1,8,1,0,18,15,16,15,14.0575,0
453,6,1,5,1,0,19,10,17,10,12.157142857142857,0
454,9,1,10,1,0,19,10,13,9,11.525,0
455,3,0,13,1,0,44,12,24,8,11.083333333333332,0
456,4,1,6,1,0,32,12,13,0,0.0,1
457,16,1,10,1,0,22,12,17,10,12.8,1
458,4,1,5,1,0,36,24,32,23,13.96853146853147,0
459,15,1,6,1,1,18,12,15,12,12.916666666666668,0
460,8,1,4,1,0,20,10,10,10,15.5,0
461,5,1,6,1,1,20,22,22,22,13.636363636363637,0
462,10,1,3,1,0,19,12,19,9,10.55,0
463,9,1,4,1,0,24,10,14,10,11.2,0
464,10,1,5,1,0,20,12,22,9,10.5,0
465,3,0,3,1,0,27,21,21,14,11.122222222222224,1
466,16,1,6,1,0,20,14,17,13,13.479166666666668,0
467,10,1,1,1,1,23,29,33,29,13.133333333333333,0
468,12,1,5,1,1,18,16,18,16,13.31,0
469,10,1,5,1,1,18,12,19,10,11.385714285714286,0
470,12,1,10,1,1,20,16,16,14,13.487142857142857,0
471,11,1,10,1,1,20,12,13,12,12.083333333333334,0
472,14,1,8,1,0,23,12,20,11,12.354166666666668,1
473,12,1,10,1,0,20,14,14,12,13.966666666666669,0
474,11,1,1,0,0,28,10,20,0,0.0,1
475,14,1,4,1,0,21,10,13,9,12.15,0
476,13,1,10,1,0,21,9,2,2,6.25,1
477,12,1,1,1,0,28,15,0,0,0.0,1
478,12,1,4,1,0,18,15,21,13,12.6025,0
479,10,1,29,1,1,21,12,15,10,12.5,0
480,12,1,5,1,0,19,15,18,14,12.825892857142858,0
481,12,1,2,1,1,18,16,16,14,14.314285714285717,0
482,12,1,3,1,0,19,15,0,0,0.0,1
483,6,1,10,1,0,20,12,21,8,12.833333333333332,0
484,12,1,10,1,1,20,15,19,13,12.447619047619046,0
485,16,1,8,1,1,18,12,14,11,12.433333333333334,0
486,14,1,5,1,0,20,12,17,10,11.035714285714285,1
487,14,1,6,1,0,31,12,27,9,11.575,1
488,12,1,10,1,1,19,15,16,15,14.591875,0
489,12,1,6,1,1,19,15,17,13,12.67857142857143,0
490,5,1,4,1,0,23,12,16,12,12.4375,0
491,14,1,6,1,0,19,12,13,12,14.095238095238097,0
